Código de artículo;Nombre del producto;Sección de producción;Nombre de búsqueda;Tipo de producto;Subtipo de producto;Grupo de dimensiones de producto;Código 1;Código 2;Código 3;Código 4;Grupo 1;Grupo 2;Tipo de producción
40100262;PES BLANCO HEROAL - AHT;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100263;PES CREMA HEROAL;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100264;PES ROJO HEROAL;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100265;PES AZUL HEROAL;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100266;PES BEIGE HEROAL;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100267;PES NATUREL HEROAL;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100268;BASE EXPOXI POLIESTER RAL 7035;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100269;PES ANTRACITA METALICO BOND LLB;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100270;PES MARRON RAL 8014 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100271;PES NARANJA RAL 2004 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100272;PES MARRON RAL 8001 SATINADO C-II;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100273;PES GRIS RAL 7006 SATINADO C-II;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100274;PES BLANCO BJ31A   ZF;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100275;PES BLANCO MATE BJ31AA   ZF;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100277;PES GRIS 9007 PIRITA;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100278;PES NARANJA RAL 1034 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100279;PES MARFIL RAL 1015 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100280;PES VERDE 6015 SATINADO C-II;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100281;PES GRIS 7044 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100282;PES MARRON 8019 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100283;PES NARANJA RAL 1006 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100284;PES MARRON 8024 SATINADO C-II;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100285;PES NEGRO NOIR 2200 SABLE;5;40100285;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100286;PES GRIS RAL 7022 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100287;PES BLANCO MATE RAINBOW;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100288;PES GRIS AE03117008820 Février 8;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100289;PES GRIS RAL 9006 TEXTURADO;5;40100289;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100290;PES BLANCO RAL 9003 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100291;PES GRIS RAL 7021 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100292;PES BLANCO RAL 9016 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100293;PES PLATA SW801D SW801D MATE;5;40100293;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100294;PES MARRON 8028 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100295;PES VERDE RAL 6000 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100296;PES OXICOBRE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100297;PES BLANCO RAL 9016 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100298;PES CREMA SUNSETTER;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100299;PES CHAMPAGNE C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100300;PES BEIGE RAL-1013 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100301;PES GRIS RAL 7040 MATE C-I;5;40100301;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100302;PES VERDE RAL 6005 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100303;PES GRIS RAL 7005 MATE C-I;5;40100303;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100304;PES ANODIC GOLDEN;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100305;PES GRIS 7035 ANOD (VRN);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100306;PES MARRON RAL 8017 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100307;PES GRIS 7044 SATINADO C-II;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100308;PES GRIS 2900 SABLE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100309;PES MARRON RAL 8022 CIII;5;40100309;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100310;PES MARRON 8008 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100311;PES NEGRO 1100 SABLE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100312;PES NEGRO 200 SABLE BOND;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100313;PES BRONCE SUNSETTER;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100314;PES C3 ELEGANCE SHUTTERS;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100315;PES C5 ELEGANCE SHUTTERS;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100316;PES GRIS RAL 9007 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100317;PES GRIS TEXTUR ALESTA AE03217049320;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100318;PES NEGRO TXT (MS);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100319;PES GRIS RAL 7016 SATINADO C-II;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100320;PES GRIS RAL 7032 SATINADO C-II;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100321;PES NARANJA RAL 1028 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100322;PES COBRE TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100323;PES GRIS RAL 9023 MET (NW);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100324;PES MARRON 8011 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100325;PES NARANJA RAL 2008 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100326;PES GRIS RAL 7032 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100327;PES GRIS 900 SABLE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100328;PES BLANCO RAL 9010 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100329;PES GRIS RAL 7012 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100330;PES GRIS RAL 7011 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100331;PES MARRON MOTEADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100332;PES RAL 7048 METALIZADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100333;PES GRIS INTERPON 610 INOX OSCURO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100334;PES GRIS RAL 7012 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100335;PES MARRON RAL 8003 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100336;PES PLATA TEXTURADO;5;40100336;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100337;PES NEGRO TEXTURADO;5;40100337;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100338;PES AMARILLO RAL 1014 C-I MATE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100339;PES GRIS RAL 7042 C-I MATE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100340;PES VERDE RAL 6017 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100341;PES NARANJA RAL 2010 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100342;PES GRIS TEXTUR ALESTA AE03057701620;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100343;PES RAL 9001 LISO SAT ALESTA AE70019220225;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100344;PES AMARILLO RAL-1004 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100345;PES GRIS TEXTURADO RAFAELLO;5;40100345;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100346;PES ROJO RAL 3016 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100347;PES ROJO RAL-3022 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100348;PES VERDE RAL-6009 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100349;PES GRIS RAL 7035 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100350;PES GRIS RAL 9006 C-III;5;40100350;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100351;PES GRIS RAL 7047 MATE C-I;5;40100351;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100352;PES GRIS RAL 7030 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100353;PES ROJO RAL 3005 TXT;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100354;PES BLANCO ZF GLOSS 40% MATE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100355;PES ANODIC GREY ALESTA AE20107000120 (VRN);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100356;PES ECRUE RAL 7044;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100357;PES MENTA RAL 6019;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100358;PES BURDEOS RAL 3004;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100359;PES AMARILLO RAL 1005 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100360;PES GRIS RAL 7040 TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100361;PES RAL GRIS 2500 SABLE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100362;PES AMARILLO 1012 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100363;PES V02 GRIS 7039 VRN;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100364;PES V05 CREMA VRN;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100365;PES V08 VERDE OSCURO VRN;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100366;PES V18 AZUL ACERO VRN;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100367;PES V72 GRIS NEGRO 7021 VRN;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100368;PES GRIS RAL 7010 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100369;PES ROJO RAL 3002 C-III;5;40100369;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100370;PES V20 BLANCO TRAFICO VRN;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40101000;CAJA PINTURA ESPECIAL;5;;Artículo;Producto;;;;;;;;Ninguno
